,oid,lat_dest,long_dest,flow,hour
0,111,24.855,46.72,1,18:00
1,698,24.848,46.724,1,18:00
2,788,24.848,46.724,1,18:00
3,946,24.848,46.724,1,18:00
4,1030,24.848,46.724,1,18:00
5,1037,24.848,46.724,1,18:00
6,1138,24.855,46.72,1,18:00
7,1245,24.848,46.724,1,18:00
8,1322,24.848,46.724,1,18:00
9,1385,24.852,46.719,1,18:00
10,1397,24.855,46.72,1,18:00
11,1402,24.848,46.724,1,18:00
12,1416,24.848,46.724,1,18:00
13,1428,24.854,46.719,1,18:00
14,1464,24.848,46.724,1,18:00
15,1464,24.855,46.72,1,18:00
16,1492,24.848,46.724,1,18:00
17,1509,24.849,46.722,1,18:00
18,1527,24.848,46.724,1,18:00
19,1558,24.849,46.722,1,18:00
20,1566,24.848,46.724,1,18:00
21,1574,24.854,46.719,1,18:00
22,1579,24.848,46.724,1,18:00
23,1583,24.855,46.72,1,18:00
24,1600,24.848,46.724,1,18:00
25,1606,24.848,46.724,1,18:00
26,1619,24.848,46.724,3,18:00
27,1621,24.848,46.724,1,18:00
28,1623,24.855,46.72,1,18:00
29,1633,24.854,46.719,1,18:00
30,1635,24.855,46.72,1,18:00
31,1682,24.848,46.724,1,18:00
32,1682,24.855,46.72,1,18:00
33,1692,24.849,46.722,1,18:00
34,1692,24.854,46.719,1,18:00
35,1693,24.848,46.724,1,18:00
36,1693,24.849,46.722,2,18:00
37,1693,24.855,46.72,1,18:00
38,1694,24.854,46.719,1,18:00
39,1699,24.848,46.724,3,18:00
40,1699,24.849,46.722,1,18:00
41,1701,24.848,46.724,1,18:00
42,1711,24.849,46.722,1,18:00
