,oid,lat_dest,long_dest,flow,hour
0,124,24.848,46.724,1,12:00
1,124,24.855,46.72,2,12:00
2,210,24.848,46.724,1,12:00
3,378,24.848,46.724,1,12:00
4,571,24.854,46.719,1,12:00
5,701,24.848,46.724,1,12:00
6,814,24.848,46.724,1,12:00
7,832,24.855,46.72,1,12:00
8,839,24.848,46.724,1,12:00
9,839,24.855,46.72,1,12:00
10,856,24.855,46.72,1,12:00
11,891,24.849,46.722,1,12:00
12,917,24.849,46.722,1,12:00
13,946,24.849,46.722,1,12:00
14,946,24.855,46.72,1,12:00
15,952,24.855,46.72,1,12:00
16,957,24.855,46.72,1,12:00
17,970,24.848,46.724,1,12:00
18,979,24.855,46.72,1,12:00
19,1000,24.854,46.719,1,12:00
20,1031,24.848,46.724,1,12:00
21,1035,24.848,46.724,1,12:00
22,1037,24.848,46.724,1,12:00
23,1049,24.849,46.722,1,12:00
24,1068,24.848,46.724,1,12:00
25,1070,24.855,46.72,1,12:00
26,1072,24.848,46.724,1,12:00
27,1072,24.855,46.72,1,12:00
28,1081,24.855,46.72,1,12:00
29,1131,24.848,46.724,1,12:00
30,1147,24.848,46.724,1,12:00
31,1155,24.855,46.72,1,12:00
32,1175,24.848,46.724,1,12:00
33,1176,24.855,46.72,1,12:00
34,1186,24.855,46.72,1,12:00
35,1190,24.848,46.724,1,12:00
36,1207,24.848,46.724,1,12:00
37,1225,24.855,46.72,1,12:00
38,1251,24.848,46.724,1,12:00
39,1277,24.848,46.724,2,12:00
40,1277,24.849,46.722,1,12:00
41,1282,24.848,46.724,1,12:00
42,1289,24.849,46.722,1,12:00
43,1299,24.848,46.724,1,12:00
44,1301,24.848,46.724,1,12:00
45,1310,24.848,46.724,1,12:00
46,1312,24.855,46.72,1,12:00
47,1335,24.848,46.724,1,12:00
48,1343,24.849,46.722,1,12:00
49,1344,24.848,46.724,1,12:00
50,1348,24.848,46.724,1,12:00
51,1350,24.849,46.722,1,12:00
52,1350,24.855,46.72,1,12:00
53,1353,24.854,46.719,1,12:00
54,1358,24.848,46.724,1,12:00
55,1359,24.848,46.724,1,12:00
56,1365,24.848,46.724,1,12:00
57,1368,24.848,46.724,1,12:00
58,1374,24.848,46.724,1,12:00
59,1374,24.854,46.719,1,12:00
60,1375,24.854,46.719,1,12:00
61,1376,24.848,46.724,1,12:00
62,1378,24.855,46.72,1,12:00
63,1381,24.855,46.72,1,12:00
64,1384,24.848,46.724,1,12:00
65,1391,24.848,46.724,1,12:00
66,1391,24.855,46.72,1,12:00
67,1398,24.848,46.724,1,12:00
68,1404,24.855,46.72,2,12:00
69,1409,24.848,46.724,1,12:00
70,1410,24.854,46.719,1,12:00
71,1416,24.848,46.724,1,12:00
72,1416,24.849,46.722,1,12:00
73,1416,24.855,46.72,5,12:00
74,1424,24.848,46.724,1,12:00
75,1424,24.855,46.72,1,12:00
76,1439,24.848,46.724,1,12:00
77,1442,24.855,46.72,1,12:00
78,1447,24.849,46.722,1,12:00
79,1447,24.855,46.72,1,12:00
80,1449,24.849,46.722,1,12:00
81,1451,24.848,46.724,2,12:00
82,1451,24.855,46.72,1,12:00
83,1453,24.848,46.724,1,12:00
84,1458,24.848,46.724,1,12:00
85,1461,24.855,46.72,1,12:00
86,1464,24.855,46.72,1,12:00
87,1466,24.854,46.719,1,12:00
88,1467,24.848,46.724,1,12:00
89,1468,24.848,46.724,1,12:00
90,1478,24.848,46.724,1,12:00
91,1478,24.849,46.722,1,12:00
92,1478,24.855,46.72,2,12:00
93,1482,24.855,46.72,1,12:00
94,1484,24.848,46.724,2,12:00
95,1488,24.855,46.72,1,12:00
96,1489,24.849,46.722,1,12:00
97,1494,24.855,46.72,1,12:00
98,1495,24.848,46.724,1,12:00
99,1499,24.855,46.72,1,12:00
100,1505,24.849,46.722,1,12:00
101,1505,24.855,46.72,1,12:00
102,1506,24.855,46.72,2,12:00
103,1509,24.848,46.724,1,12:00
104,1509,24.855,46.72,1,12:00
105,1512,24.848,46.724,1,12:00
106,1516,24.848,46.724,1,12:00
107,1522,24.848,46.724,1,12:00
108,1522,24.855,46.72,1,12:00
109,1527,24.848,46.724,1,12:00
110,1533,24.855,46.72,1,12:00
111,1539,24.849,46.722,1,12:00
112,1541,24.855,46.72,1,12:00
113,1547,24.848,46.724,1,12:00
114,1553,24.849,46.722,1,12:00
115,1555,24.855,46.72,1,12:00
116,1556,24.855,46.72,2,12:00
117,1557,24.854,46.719,1,12:00
118,1558,24.849,46.722,1,12:00
119,1560,24.849,46.722,1,12:00
120,1560,24.855,46.72,1,12:00
121,1561,24.848,46.724,1,12:00
122,1562,24.855,46.72,1,12:00
123,1567,24.855,46.72,1,12:00
124,1575,24.849,46.722,1,12:00
125,1575,24.855,46.72,2,12:00
126,1576,24.848,46.724,1,12:00
127,1576,24.852,46.719,1,12:00
128,1578,24.848,46.724,1,12:00
129,1579,24.848,46.724,1,12:00
130,1579,24.849,46.722,1,12:00
131,1579,24.855,46.72,2,12:00
132,1583,24.852,46.719,1,12:00
133,1583,24.855,46.72,1,12:00
134,1586,24.855,46.72,1,12:00
135,1596,24.855,46.72,1,12:00
136,1597,24.848,46.724,1,12:00
137,1598,24.855,46.72,1,12:00
138,1600,24.848,46.724,1,12:00
139,1602,24.852,46.719,1,12:00
140,1603,24.855,46.72,2,12:00
141,1605,24.855,46.72,2,12:00
142,1612,24.855,46.72,1,12:00
143,1614,24.848,46.724,1,12:00
144,1619,24.848,46.724,1,12:00
145,1619,24.849,46.722,1,12:00
146,1619,24.855,46.72,2,12:00
147,1622,24.855,46.72,1,12:00
148,1623,24.855,46.72,6,12:00
149,1625,24.855,46.72,1,12:00
150,1627,24.854,46.719,1,12:00
151,1633,24.854,46.719,2,12:00
152,1633,24.855,46.72,6,12:00
153,1636,24.848,46.724,1,12:00
154,1640,24.854,46.719,1,12:00
155,1646,24.854,46.719,1,12:00
156,1655,24.855,46.72,1,12:00
157,1656,24.855,46.72,1,12:00
158,1658,24.849,46.722,1,12:00
159,1661,24.848,46.724,2,12:00
160,1665,24.848,46.724,2,12:00
161,1693,24.848,46.724,1,12:00
162,1697,24.848,46.724,1,12:00
