,oid,lat_dest,long_dest,flow,hour
0,76,24.855,46.72,1,11:00
1,168,24.855,46.72,1,11:00
2,170,24.855,46.72,1,11:00
3,268,24.855,46.72,1,11:00
4,329,24.855,46.72,1,11:00
5,462,24.849,46.722,1,11:00
6,505,24.855,46.72,1,11:00
7,522,24.848,46.724,1,11:00
8,567,24.848,46.724,1,11:00
9,575,24.855,46.72,1,11:00
10,587,24.848,46.724,1,11:00
11,607,24.849,46.722,1,11:00
12,625,24.848,46.724,1,11:00
13,641,24.855,46.72,1,11:00
14,650,24.855,46.72,1,11:00
15,698,24.855,46.72,1,11:00
16,730,24.848,46.724,1,11:00
17,740,24.848,46.724,1,11:00
18,828,24.855,46.72,1,11:00
19,839,24.848,46.724,1,11:00
20,839,24.849,46.722,1,11:00
21,863,24.855,46.72,1,11:00
22,882,24.848,46.724,2,11:00
23,970,24.848,46.724,1,11:00
24,970,24.855,46.72,1,11:00
25,1014,24.855,46.72,1,11:00
26,1027,24.848,46.724,1,11:00
27,1042,24.855,46.72,2,11:00
28,1069,24.855,46.72,1,11:00
29,1072,24.855,46.72,1,11:00
30,1091,24.855,46.72,1,11:00
31,1115,24.848,46.724,1,11:00
32,1121,24.855,46.72,1,11:00
33,1149,24.855,46.72,1,11:00
34,1177,24.848,46.724,1,11:00
35,1179,24.855,46.72,1,11:00
36,1186,24.849,46.722,1,11:00
37,1186,24.855,46.72,2,11:00
38,1197,24.854,46.719,1,11:00
39,1202,24.855,46.72,1,11:00
40,1204,24.855,46.72,1,11:00
41,1223,24.855,46.72,1,11:00
42,1225,24.855,46.72,1,11:00
43,1233,24.848,46.724,1,11:00
44,1233,24.855,46.72,1,11:00
45,1240,24.849,46.722,1,11:00
46,1244,24.848,46.724,1,11:00
47,1256,24.855,46.72,1,11:00
48,1258,24.855,46.72,1,11:00
49,1266,24.849,46.722,1,11:00
50,1277,24.855,46.72,1,11:00
51,1284,24.855,46.72,1,11:00
52,1297,24.855,46.72,1,11:00
53,1299,24.855,46.72,1,11:00
54,1301,24.849,46.722,1,11:00
55,1304,24.855,46.72,1,11:00
56,1310,24.852,46.719,1,11:00
57,1312,24.853,46.72,1,11:00
58,1320,24.855,46.72,1,11:00
59,1321,24.855,46.72,1,11:00
60,1322,24.855,46.72,1,11:00
61,1335,24.848,46.724,1,11:00
62,1336,24.855,46.72,1,11:00
63,1339,24.848,46.724,1,11:00
64,1344,24.855,46.72,1,11:00
65,1346,24.852,46.719,1,11:00
66,1346,24.855,46.72,1,11:00
67,1350,24.848,46.724,1,11:00
68,1352,24.855,46.72,1,11:00
69,1367,24.855,46.72,1,11:00
70,1373,24.849,46.722,1,11:00
71,1390,24.848,46.724,1,11:00
72,1391,24.855,46.72,1,11:00
73,1399,24.855,46.72,1,11:00
74,1400,24.855,46.72,1,11:00
75,1402,24.855,46.72,1,11:00
76,1407,24.855,46.72,1,11:00
77,1410,24.848,46.724,1,11:00
78,1410,24.854,46.719,1,11:00
79,1410,24.855,46.72,2,11:00
80,1416,24.848,46.724,1,11:00
81,1416,24.852,46.719,1,11:00
82,1416,24.855,46.72,3,11:00
83,1429,24.849,46.722,1,11:00
84,1442,24.852,46.719,1,11:00
85,1449,24.848,46.724,1,11:00
86,1451,24.848,46.724,1,11:00
87,1454,24.848,46.724,1,11:00
88,1457,24.849,46.722,1,11:00
89,1464,24.852,46.719,1,11:00
90,1467,24.855,46.72,1,11:00
91,1474,24.848,46.724,1,11:00
92,1481,24.855,46.72,1,11:00
93,1484,24.853,46.72,1,11:00
94,1491,24.848,46.724,1,11:00
95,1492,24.848,46.724,3,11:00
96,1492,24.855,46.72,4,11:00
97,1499,24.855,46.72,1,11:00
98,1500,24.855,46.72,1,11:00
99,1506,24.855,46.72,1,11:00
100,1509,24.848,46.724,1,11:00
101,1516,24.855,46.72,1,11:00
102,1522,24.848,46.724,1,11:00
103,1523,24.854,46.719,1,11:00
104,1527,24.854,46.719,1,11:00
105,1531,24.855,46.72,1,11:00
106,1533,24.848,46.724,2,11:00
107,1537,24.855,46.72,1,11:00
108,1538,24.855,46.72,1,11:00
109,1539,24.854,46.719,1,11:00
110,1540,24.849,46.722,1,11:00
111,1551,24.855,46.72,1,11:00
112,1555,24.848,46.724,1,11:00
113,1555,24.855,46.72,1,11:00
114,1560,24.848,46.724,1,11:00
115,1564,24.855,46.72,1,11:00
116,1568,24.848,46.724,1,11:00
117,1568,24.855,46.72,1,11:00
118,1574,24.848,46.724,1,11:00
119,1575,24.854,46.719,1,11:00
