,oid,lat_dest,long_dest,flow,hour
0,124,24.848,46.724,3,21:00
1,373,24.848,46.724,1,21:00
2,373,24.855,46.72,1,21:00
3,637,24.848,46.724,1,21:00
4,800,24.848,46.724,1,21:00
5,890,24.848,46.724,1,21:00
6,972,24.855,46.72,1,21:00
7,1037,24.848,46.724,1,21:00
8,1133,24.855,46.72,1,21:00
9,1177,24.848,46.724,1,21:00
10,1186,24.848,46.724,1,21:00
11,1309,24.855,46.72,1,21:00
12,1321,24.848,46.724,1,21:00
13,1345,24.854,46.719,1,21:00
14,1353,24.853,46.72,1,21:00
15,1384,24.855,46.72,1,21:00
16,1402,24.848,46.724,1,21:00
17,1404,24.848,46.724,1,21:00
18,1439,24.854,46.719,1,21:00
19,1500,24.848,46.724,1,21:00
20,1532,24.855,46.72,1,21:00
21,1535,24.855,46.72,1,21:00
22,1556,24.855,46.72,1,21:00
23,1607,24.849,46.722,1,21:00
24,1611,24.848,46.724,1,21:00
25,1619,24.848,46.724,3,21:00
26,1619,24.854,46.719,1,21:00
27,1619,24.855,46.72,1,21:00
28,1655,24.848,46.724,3,21:00
29,1655,24.855,46.72,2,21:00
30,1661,24.848,46.724,1,21:00
31,1692,24.855,46.72,1,21:00
32,1693,24.848,46.724,1,21:00
33,1699,24.848,46.724,1,21:00
34,1699,24.855,46.72,1,21:00
35,1705,24.855,46.72,1,21:00
36,1709,24.854,46.719,1,21:00
