,oid,lat_dest,long_dest,flow,hour
0,683,24.855,46.72,1,23:00
1,1309,24.848,46.724,1,23:00
2,1375,24.849,46.722,1,23:00
3,1384,24.854,46.719,1,23:00
4,1427,24.848,46.724,1,23:00
5,1443,24.854,46.719,1,23:00
6,1464,24.848,46.724,1,23:00
7,1471,24.848,46.724,1,23:00
8,1480,24.848,46.724,1,23:00
9,1492,24.848,46.724,1,23:00
10,1531,24.855,46.72,1,23:00
11,1554,24.848,46.724,1,23:00
12,1579,24.849,46.722,1,23:00
13,1579,24.854,46.719,1,23:00
14,1619,24.848,46.724,2,23:00
15,1622,24.848,46.724,1,23:00
16,1655,24.848,46.724,1,23:00
17,1689,24.849,46.722,1,23:00
18,1699,24.848,46.724,1,23:00
