,oid,lat_dest,long_dest,flow,hour
0,634,24.848,46.724,1,22:00
1,1198,24.848,46.724,1,22:00
2,1245,24.848,46.724,1,22:00
3,1291,24.855,46.72,1,22:00
4,1347,24.854,46.719,1,22:00
5,1416,24.848,46.724,1,22:00
6,1464,24.848,46.724,1,22:00
7,1474,24.855,46.72,1,22:00
8,1492,24.855,46.72,1,22:00
9,1538,24.855,46.72,1,22:00
10,1541,24.848,46.724,1,22:00
11,1558,24.855,46.72,1,22:00
12,1562,24.848,46.724,1,22:00
13,1579,24.848,46.724,2,22:00
14,1579,24.855,46.72,2,22:00
15,1619,24.848,46.724,2,22:00
16,1619,24.855,46.72,2,22:00
17,1621,24.848,46.724,1,22:00
18,1623,24.855,46.72,2,22:00
19,1627,24.852,46.719,1,22:00
20,1633,24.849,46.722,1,22:00
21,1636,24.848,46.724,1,22:00
22,1655,24.855,46.72,2,22:00
23,1658,24.849,46.722,1,22:00
24,1674,24.855,46.72,1,22:00
25,1682,24.855,46.72,1,22:00
26,1693,24.848,46.724,2,22:00
27,1705,24.855,46.72,1,22:00
28,1709,24.854,46.719,1,22:00
29,1711,24.855,46.72,1,22:00
