,oid,lat_dest,long_dest,flow,hour
0,42,24.855,46.72,1,7:00
1,51,24.852,46.719,1,7:00
2,57,24.855,46.72,1,7:00
3,157,24.855,46.72,1,7:00
4,168,24.853,46.72,1,7:00
5,210,24.852,46.719,1,7:00
6,232,24.853,46.72,1,7:00
7,233,24.855,46.72,1,7:00
8,253,24.852,46.719,1,7:00
9,412,24.848,46.724,1,7:00
10,602,24.853,46.72,1,7:00
11,700,24.853,46.72,1,7:00
12,702,24.849,46.722,1,7:00
13,703,24.855,46.72,1,7:00
14,730,24.848,46.724,1,7:00
15,755,24.848,46.724,1,7:00
16,800,24.848,46.724,1,7:00
17,844,24.852,46.719,1,7:00
18,873,24.853,46.72,1,7:00
19,882,24.855,46.72,1,7:00
20,897,24.852,46.719,1,7:00
21,999,24.855,46.72,1,7:00
22,1006,24.855,46.72,1,7:00
23,1070,24.855,46.72,1,7:00
24,1121,24.853,46.72,1,7:00
25,1130,24.849,46.722,1,7:00
26,1131,24.848,46.724,1,7:00
27,1136,24.852,46.719,1,7:00
28,1147,24.852,46.719,1,7:00
29,1186,24.855,46.72,1,7:00
30,1207,24.852,46.719,1,7:00
31,1209,24.853,46.72,1,7:00
32,1216,24.848,46.724,1,7:00
33,1216,24.855,46.72,1,7:00
34,1235,24.852,46.719,1,7:00
35,1251,24.855,46.72,1,7:00
36,1277,24.853,46.72,1,7:00
37,1277,24.855,46.72,1,7:00
38,1289,24.853,46.72,1,7:00
39,1308,24.848,46.724,1,7:00
40,1317,24.849,46.722,1,7:00
41,1321,24.853,46.72,1,7:00
42,1337,24.855,46.72,1,7:00
43,1344,24.854,46.719,1,7:00
44,1346,24.852,46.719,2,7:00
45,1346,24.855,46.72,1,7:00
46,1349,24.853,46.72,1,7:00
47,1375,24.852,46.719,1,7:00
48,1385,24.853,46.72,1,7:00
49,1386,24.852,46.719,1,7:00
50,1388,24.852,46.719,1,7:00
51,1389,24.853,46.72,1,7:00
52,1389,24.855,46.72,1,7:00
53,1397,24.849,46.722,1,7:00
54,1401,24.852,46.719,1,7:00
55,1404,24.853,46.72,1,7:00
56,1404,24.854,46.719,1,7:00
57,1404,24.855,46.72,1,7:00
58,1406,24.855,46.72,1,7:00
59,1407,24.852,46.719,1,7:00
60,1410,24.853,46.72,1,7:00
61,1413,24.848,46.724,1,7:00
62,1415,24.853,46.72,1,7:00
63,1416,24.849,46.722,1,7:00
64,1416,24.855,46.72,2,7:00
65,1426,24.849,46.722,1,7:00
66,1430,24.853,46.72,1,7:00
67,1431,24.852,46.719,1,7:00
68,1438,24.852,46.719,1,7:00
69,1447,24.853,46.72,1,7:00
70,1449,24.849,46.722,1,7:00
71,1450,24.853,46.72,1,7:00
72,1458,24.848,46.724,1,7:00
73,1464,24.854,46.719,1,7:00
74,1465,24.848,46.724,1,7:00
75,1467,24.853,46.72,1,7:00
76,1474,24.855,46.72,1,7:00
77,1478,24.848,46.724,1,7:00
78,1478,24.855,46.72,2,7:00
79,1480,24.853,46.72,1,7:00
80,1480,24.855,46.72,1,7:00
81,1481,24.855,46.72,1,7:00
82,1482,24.853,46.72,2,7:00
83,1482,24.855,46.72,1,7:00
84,1483,24.849,46.722,1,7:00
85,1494,24.853,46.72,2,7:00
86,1495,24.848,46.724,1,7:00
87,1509,24.852,46.719,1,7:00
88,1516,24.848,46.724,1,7:00
89,1527,24.848,46.724,1,7:00
90,1527,24.853,46.72,1,7:00
91,1538,24.848,46.724,1,7:00
92,1543,24.848,46.724,1,7:00
93,1565,24.849,46.722,1,7:00
94,1565,24.852,46.719,1,7:00
95,1568,24.852,46.719,1,7:00
96,1579,24.852,46.719,1,7:00
97,1579,24.855,46.72,2,7:00
98,1585,24.848,46.724,1,7:00
99,1590,24.848,46.724,1,7:00
100,1591,24.853,46.72,1,7:00
101,1594,24.853,46.72,1,7:00
102,1596,24.848,46.724,1,7:00
103,1599,24.855,46.72,1,7:00
104,1603,24.848,46.724,2,7:00
105,1603,24.853,46.72,2,7:00
106,1604,24.853,46.72,1,7:00
107,1604,24.855,46.72,1,7:00
108,1605,24.854,46.719,1,7:00
109,1606,24.852,46.719,1,7:00
110,1610,24.855,46.72,1,7:00
111,1612,24.853,46.72,1,7:00
112,1617,24.848,46.724,1,7:00
113,1618,24.853,46.72,1,7:00
114,1618,24.855,46.72,1,7:00
115,1619,24.852,46.719,1,7:00
116,1619,24.854,46.719,1,7:00
117,1619,24.855,46.72,1,7:00
118,1621,24.852,46.719,1,7:00
119,1622,24.853,46.72,1,7:00
120,1623,24.855,46.72,2,7:00
121,1627,24.853,46.72,1,7:00
122,1633,24.849,46.722,1,7:00
123,1633,24.855,46.72,1,7:00
124,1635,24.855,46.72,1,7:00
125,1640,24.855,46.72,1,7:00
126,1655,24.853,46.72,1,7:00
127,1661,24.848,46.724,1,7:00
128,1693,24.855,46.72,1,7:00
