,oid,lat_dest,long_dest,flow,hour
0,8,24.855,46.72,1,9:00
1,131,24.855,46.72,1,9:00
2,142,24.853,46.72,1,9:00
3,165,24.855,46.72,2,9:00
4,219,24.852,46.719,1,9:00
5,235,24.853,46.72,1,9:00
6,272,24.848,46.724,1,9:00
7,279,24.855,46.72,1,9:00
8,292,24.852,46.719,1,9:00
9,330,24.848,46.724,1,9:00
10,437,24.848,46.724,1,9:00
11,510,24.849,46.722,1,9:00
12,554,24.852,46.719,1,9:00
13,555,24.848,46.724,1,9:00
14,569,24.848,46.724,1,9:00
15,646,24.853,46.72,1,9:00
16,673,24.853,46.72,1,9:00
17,695,24.855,46.72,1,9:00
18,716,24.853,46.72,2,9:00
19,718,24.855,46.72,1,9:00
20,730,24.852,46.719,1,9:00
21,774,24.855,46.72,1,9:00
22,789,24.855,46.72,1,9:00
23,806,24.848,46.724,1,9:00
24,816,24.848,46.724,1,9:00
25,820,24.855,46.72,1,9:00
26,870,24.855,46.72,1,9:00
27,873,24.849,46.722,1,9:00
28,946,24.852,46.719,1,9:00
29,985,24.853,46.72,1,9:00
30,1031,24.855,46.72,1,9:00
31,1036,24.849,46.722,1,9:00
32,1049,24.848,46.724,1,9:00
33,1054,24.855,46.72,1,9:00
34,1055,24.849,46.722,1,9:00
35,1063,24.853,46.72,1,9:00
36,1103,24.855,46.72,1,9:00
37,1115,24.848,46.724,1,9:00
38,1177,24.852,46.719,1,9:00
39,1177,24.853,46.72,1,9:00
40,1177,24.855,46.72,1,9:00
41,1233,24.855,46.72,1,9:00
42,1299,24.848,46.724,1,9:00
43,1324,24.853,46.72,1,9:00
44,1326,24.852,46.719,1,9:00
45,1343,24.855,46.72,1,9:00
46,1350,24.848,46.724,2,9:00
47,1351,24.855,46.72,1,9:00
48,1356,24.852,46.719,1,9:00
49,1360,24.849,46.722,1,9:00
50,1365,24.855,46.72,1,9:00
51,1369,24.855,46.72,1,9:00
52,1377,24.855,46.72,1,9:00
53,1380,24.853,46.72,1,9:00
54,1404,24.848,46.724,1,9:00
55,1404,24.853,46.72,1,9:00
56,1406,24.849,46.722,1,9:00
57,1408,24.853,46.72,1,9:00
58,1411,24.853,46.72,1,9:00
59,1412,24.855,46.72,1,9:00
60,1429,24.848,46.724,1,9:00
61,1434,24.848,46.724,1,9:00
62,1451,24.853,46.72,1,9:00
63,1464,24.848,46.724,1,9:00
64,1466,24.852,46.719,1,9:00
65,1467,24.848,46.724,1,9:00
66,1482,24.849,46.722,1,9:00
67,1482,24.855,46.72,1,9:00
68,1484,24.853,46.72,1,9:00
69,1492,24.855,46.72,1,9:00
70,1494,24.849,46.722,1,9:00
71,1494,24.855,46.72,1,9:00
72,1499,24.853,46.72,1,9:00
73,1510,24.855,46.72,1,9:00
74,1527,24.855,46.72,1,9:00
75,1534,24.855,46.72,1,9:00
76,1538,24.855,46.72,1,9:00
77,1539,24.855,46.72,1,9:00
78,1556,24.854,46.719,1,9:00
79,1562,24.855,46.72,1,9:00
80,1565,24.855,46.72,1,9:00
81,1569,24.855,46.72,1,9:00
82,1575,24.849,46.722,1,9:00
83,1575,24.855,46.72,1,9:00
84,1576,24.854,46.719,1,9:00
85,1579,24.853,46.72,1,9:00
86,1579,24.854,46.719,1,9:00
87,1601,24.849,46.722,1,9:00
88,1614,24.853,46.72,2,9:00
89,1619,24.848,46.724,2,9:00
90,1619,24.849,46.722,1,9:00
91,1623,24.855,46.72,1,9:00
92,1627,24.852,46.719,1,9:00
93,1633,24.853,46.72,1,9:00
94,1643,24.855,46.72,1,9:00
95,1655,24.848,46.724,1,9:00
96,1686,24.855,46.72,1,9:00
97,1693,24.849,46.722,1,9:00
98,1699,24.848,46.724,1,9:00
99,1712,24.855,46.72,1,9:00
