,oid,lat_dest,long_dest,flow,hour
0,124,24.848,46.724,1,13:00
1,372,24.855,46.72,1,13:00
2,403,24.849,46.722,1,13:00
3,522,24.855,46.72,1,13:00
4,544,24.849,46.722,1,13:00
5,571,24.855,46.72,1,13:00
6,730,24.855,46.72,1,13:00
7,734,24.855,46.72,1,13:00
8,757,24.855,46.72,1,13:00
9,794,24.848,46.724,1,13:00
10,834,24.855,46.72,1,13:00
11,841,24.848,46.724,1,13:00
12,882,24.848,46.724,1,13:00
13,882,24.855,46.72,1,13:00
14,939,24.848,46.724,1,13:00
15,941,24.848,46.724,1,13:00
16,962,24.848,46.724,1,13:00
17,970,24.848,46.724,1,13:00
18,1003,24.848,46.724,1,13:00
19,1042,24.848,46.724,1,13:00
20,1042,24.855,46.72,1,13:00
21,1081,24.848,46.724,1,13:00
22,1108,24.848,46.724,1,13:00
23,1122,24.848,46.724,1,13:00
24,1125,24.855,46.72,1,13:00
25,1148,24.848,46.724,1,13:00
26,1148,24.849,46.722,2,13:00
27,1199,24.848,46.724,1,13:00
28,1202,24.855,46.72,1,13:00
29,1208,24.855,46.72,1,13:00
30,1210,24.855,46.72,1,13:00
31,1226,24.848,46.724,1,13:00
32,1233,24.848,46.724,3,13:00
33,1289,24.855,46.72,1,13:00
34,1297,24.855,46.72,1,13:00
35,1304,24.848,46.724,2,13:00
36,1310,24.855,46.72,1,13:00
37,1317,24.855,46.72,1,13:00
38,1321,24.855,46.72,1,13:00
39,1338,24.848,46.724,1,13:00
40,1343,24.855,46.72,1,13:00
41,1346,24.848,46.724,1,13:00
42,1350,24.848,46.724,1,13:00
43,1350,24.855,46.72,1,13:00
44,1356,24.848,46.724,1,13:00
45,1359,24.854,46.719,1,13:00
46,1372,24.848,46.724,1,13:00
47,1373,24.848,46.724,1,13:00
48,1375,24.848,46.724,1,13:00
49,1375,24.855,46.72,1,13:00
50,1379,24.855,46.72,1,13:00
51,1380,24.848,46.724,1,13:00
52,1381,24.848,46.724,1,13:00
53,1385,24.848,46.724,1,13:00
54,1397,24.855,46.72,1,13:00
55,1399,24.855,46.72,1,13:00
56,1401,24.854,46.719,1,13:00
57,1402,24.855,46.72,1,13:00
58,1404,24.848,46.724,3,13:00
59,1404,24.855,46.72,4,13:00
60,1406,24.855,46.72,1,13:00
61,1407,24.855,46.72,1,13:00
62,1414,24.849,46.722,1,13:00
63,1416,24.848,46.724,1,13:00
64,1416,24.849,46.722,1,13:00
65,1416,24.855,46.72,1,13:00
66,1418,24.855,46.72,1,13:00
67,1421,24.849,46.722,1,13:00
68,1429,24.854,46.719,1,13:00
69,1434,24.848,46.724,1,13:00
70,1437,24.848,46.724,1,13:00
71,1440,24.848,46.724,1,13:00
72,1442,24.848,46.724,3,13:00
73,1442,24.849,46.722,1,13:00
74,1442,24.855,46.72,2,13:00
75,1448,24.848,46.724,1,13:00
76,1451,24.848,46.724,1,13:00
77,1464,24.848,46.724,2,13:00
78,1474,24.849,46.722,1,13:00
79,1478,24.848,46.724,2,13:00
80,1478,24.855,46.72,1,13:00
81,1492,24.848,46.724,1,13:00
82,1492,24.849,46.722,1,13:00
83,1492,24.855,46.72,3,13:00
84,1510,24.855,46.72,1,13:00
85,1512,24.855,46.72,1,13:00
86,1513,24.849,46.722,1,13:00
87,1519,24.848,46.724,1,13:00
88,1520,24.848,46.724,1,13:00
89,1522,24.855,46.72,1,13:00
90,1525,24.855,46.72,1,13:00
91,1527,24.848,46.724,1,13:00
92,1529,24.849,46.722,1,13:00
93,1533,24.849,46.722,2,13:00
94,1536,24.848,46.724,1,13:00
95,1537,24.849,46.722,1,13:00
96,1549,24.848,46.724,1,13:00
97,1549,24.853,46.72,1,13:00
98,1554,24.855,46.72,1,13:00
99,1558,24.852,46.719,1,13:00
100,1560,24.855,46.72,1,13:00
101,1562,24.855,46.72,1,13:00
102,1565,24.854,46.719,1,13:00
103,1566,24.848,46.724,1,13:00
104,1568,24.855,46.72,1,13:00
105,1576,24.849,46.722,1,13:00
106,1579,24.848,46.724,3,13:00
107,1579,24.855,46.72,3,13:00
108,1583,24.848,46.724,1,13:00
109,1583,24.855,46.72,2,13:00
110,1590,24.855,46.72,1,13:00
111,1594,24.848,46.724,1,13:00
112,1596,24.855,46.72,1,13:00
113,1603,24.852,46.719,1,13:00
114,1605,24.855,46.72,5,13:00
115,1606,24.848,46.724,1,13:00
116,1608,24.849,46.722,1,13:00
117,1619,24.848,46.724,3,13:00
118,1619,24.855,46.72,1,13:00
119,1620,24.849,46.722,1,13:00
120,1621,24.848,46.724,1,13:00
121,1621,24.855,46.72,2,13:00
122,1623,24.855,46.72,4,13:00
123,1627,24.849,46.722,1,13:00
124,1627,24.855,46.72,1,13:00
125,1633,24.848,46.724,1,13:00
126,1633,24.849,46.722,1,13:00
127,1633,24.852,46.719,1,13:00
128,1656,24.855,46.72,1,13:00
129,1658,24.848,46.724,1,13:00
130,1658,24.849,46.722,1,13:00
131,1661,24.855,46.72,1,13:00
132,1665,24.849,46.722,3,13:00
133,1693,24.848,46.724,1,13:00
134,1697,24.848,46.724,1,13:00
135,1699,24.848,46.724,1,13:00
136,1699,24.853,46.72,1,13:00
137,1699,24.855,46.72,1,13:00
138,1703,24.849,46.722,1,13:00
139,1711,24.854,46.719,1,13:00
140,1712,24.848,46.724,1,13:00
