,oid,lat_dest,long_dest,flow,hour
0,306,24.848,46.724,1,16:00
1,660,24.855,46.72,1,16:00
2,719,24.848,46.724,1,16:00
3,784,24.848,46.724,1,16:00
4,1051,24.848,46.724,1,16:00
5,1082,24.855,46.72,1,16:00
6,1277,24.854,46.719,1,16:00
7,1297,24.849,46.722,1,16:00
8,1299,24.848,46.724,1,16:00
9,1343,24.848,46.724,1,16:00
10,1349,24.848,46.724,1,16:00
11,1350,24.855,46.72,1,16:00
12,1402,24.848,46.724,1,16:00
13,1416,24.854,46.719,2,16:00
14,1492,24.848,46.724,1,16:00
15,1506,24.848,46.724,1,16:00
16,1511,24.848,46.724,1,16:00
17,1527,24.849,46.722,1,16:00
18,1549,24.855,46.72,1,16:00
19,1579,24.848,46.724,2,16:00
20,1579,24.854,46.719,1,16:00
21,1619,24.848,46.724,2,16:00
22,1619,24.849,46.722,1,16:00
23,1619,24.855,46.72,1,16:00
24,1623,24.854,46.719,1,16:00
25,1623,24.855,46.72,1,16:00
26,1633,24.854,46.719,1,16:00
27,1655,24.855,46.72,4,16:00
28,1661,24.848,46.724,1,16:00
29,1665,24.848,46.724,1,16:00
30,1694,24.852,46.719,1,16:00
31,1694,24.854,46.719,1,16:00
32,1699,24.848,46.724,1,16:00
