,oid,lat_dest,long_dest,flow,hour
0,452,24.854,46.719,1,15:00
1,539,24.849,46.722,1,15:00
2,555,24.855,46.72,1,15:00
3,656,24.848,46.724,1,15:00
4,671,24.848,46.724,1,15:00
5,730,24.849,46.722,1,15:00
6,734,24.848,46.724,1,15:00
7,745,24.848,46.724,1,15:00
8,800,24.848,46.724,1,15:00
9,882,24.849,46.722,1,15:00
10,908,24.852,46.719,1,15:00
11,916,24.849,46.722,1,15:00
12,939,24.855,46.72,1,15:00
13,1007,24.854,46.719,1,15:00
14,1037,24.855,46.72,1,15:00
15,1157,24.848,46.724,1,15:00
16,1321,24.848,46.724,1,15:00
17,1328,24.849,46.722,1,15:00
18,1348,24.855,46.72,1,15:00
19,1353,24.855,46.72,1,15:00
20,1359,24.849,46.722,1,15:00
21,1379,24.848,46.724,1,15:00
22,1381,24.848,46.724,1,15:00
23,1410,24.855,46.72,1,15:00
24,1419,24.855,46.72,1,15:00
25,1421,24.854,46.719,1,15:00
26,1437,24.848,46.724,1,15:00
27,1467,24.849,46.722,1,15:00
28,1472,24.848,46.724,1,15:00
29,1478,24.855,46.72,1,15:00
30,1480,24.855,46.72,1,15:00
31,1492,24.848,46.724,1,15:00
32,1492,24.849,46.722,1,15:00
33,1547,24.852,46.719,1,15:00
34,1576,24.854,46.719,1,15:00
35,1579,24.848,46.724,2,15:00
36,1601,24.848,46.724,1,15:00
37,1602,24.849,46.722,1,15:00
38,1606,24.848,46.724,1,15:00
39,1606,24.849,46.722,1,15:00
40,1606,24.855,46.72,1,15:00
41,1612,24.849,46.722,1,15:00
42,1619,24.848,46.724,2,15:00
43,1619,24.855,46.72,4,15:00
44,1621,24.848,46.724,1,15:00
45,1633,24.848,46.724,1,15:00
46,1665,24.848,46.724,1,15:00
47,1665,24.849,46.722,1,15:00
48,1687,24.854,46.719,1,15:00
49,1693,24.848,46.724,1,15:00
50,1693,24.849,46.722,2,15:00
51,1693,24.855,46.72,1,15:00
52,1697,24.855,46.72,1,15:00
53,1704,24.854,46.719,1,15:00
54,1709,24.848,46.724,1,15:00
