,oid,lat_dest,long_dest,flow,hour
0,110,24.852,46.719,1,8:00
1,133,24.849,46.722,1,8:00
2,141,24.855,46.72,1,8:00
3,227,24.848,46.724,1,8:00
4,236,24.855,46.72,1,8:00
5,285,24.853,46.72,2,8:00
6,322,24.855,46.72,1,8:00
7,381,24.849,46.722,1,8:00
8,441,24.852,46.719,1,8:00
9,522,24.855,46.72,1,8:00
10,566,24.848,46.724,1,8:00
11,598,24.852,46.719,1,8:00
12,690,24.855,46.72,1,8:00
13,789,24.848,46.724,1,8:00
14,838,24.848,46.724,1,8:00
15,855,24.848,46.724,1,8:00
16,855,24.855,46.72,1,8:00
17,897,24.853,46.72,1,8:00
18,925,24.848,46.724,1,8:00
19,965,24.848,46.724,1,8:00
20,970,24.848,46.724,1,8:00
21,996,24.852,46.719,1,8:00
22,997,24.853,46.72,1,8:00
23,1020,24.853,46.72,1,8:00
24,1037,24.848,46.724,1,8:00
25,1050,24.855,46.72,1,8:00
26,1102,24.852,46.719,1,8:00
27,1103,24.854,46.719,1,8:00
28,1134,24.849,46.722,1,8:00
29,1152,24.848,46.724,1,8:00
30,1179,24.848,46.724,1,8:00
31,1193,24.855,46.72,1,8:00
32,1225,24.852,46.719,1,8:00
33,1232,24.855,46.72,1,8:00
34,1251,24.848,46.724,1,8:00
35,1277,24.853,46.72,1,8:00
36,1282,24.855,46.72,1,8:00
37,1321,24.848,46.724,1,8:00
38,1334,24.853,46.72,1,8:00
39,1337,24.855,46.72,1,8:00
40,1345,24.853,46.72,1,8:00
41,1350,24.848,46.724,1,8:00
42,1350,24.855,46.72,1,8:00
43,1351,24.849,46.722,1,8:00
44,1351,24.853,46.72,1,8:00
45,1359,24.855,46.72,1,8:00
46,1360,24.852,46.719,1,8:00
47,1360,24.855,46.72,1,8:00
48,1363,24.853,46.72,1,8:00
49,1363,24.855,46.72,1,8:00
50,1377,24.849,46.722,1,8:00
51,1381,24.849,46.722,1,8:00
52,1384,24.849,46.722,1,8:00
53,1385,24.848,46.724,1,8:00
54,1397,24.849,46.722,1,8:00
55,1402,24.853,46.72,1,8:00
56,1403,24.849,46.722,1,8:00
57,1416,24.849,46.722,1,8:00
58,1419,24.853,46.72,1,8:00
59,1434,24.853,46.72,1,8:00
60,1439,24.855,46.72,1,8:00
61,1443,24.852,46.719,1,8:00
62,1451,24.849,46.722,1,8:00
63,1468,24.853,46.72,1,8:00
64,1478,24.853,46.72,1,8:00
65,1478,24.855,46.72,1,8:00
66,1480,24.852,46.719,1,8:00
67,1500,24.853,46.72,1,8:00
68,1502,24.848,46.724,1,8:00
69,1509,24.848,46.724,1,8:00
70,1527,24.849,46.722,1,8:00
71,1531,24.848,46.724,1,8:00
72,1533,24.848,46.724,2,8:00
73,1537,24.853,46.72,1,8:00
74,1540,24.853,46.72,1,8:00
75,1541,24.855,46.72,1,8:00
76,1560,24.848,46.724,1,8:00
77,1577,24.849,46.722,1,8:00
78,1578,24.853,46.72,1,8:00
79,1579,24.848,46.724,1,8:00
80,1579,24.853,46.72,1,8:00
81,1579,24.854,46.719,1,8:00
82,1583,24.855,46.72,1,8:00
83,1598,24.855,46.72,1,8:00
84,1602,24.848,46.724,1,8:00
85,1602,24.855,46.72,1,8:00
86,1603,24.852,46.719,1,8:00
87,1606,24.848,46.724,1,8:00
88,1613,24.855,46.72,1,8:00
89,1619,24.848,46.724,1,8:00
90,1626,24.852,46.719,1,8:00
91,1627,24.852,46.719,1,8:00
92,1633,24.852,46.719,1,8:00
93,1636,24.848,46.724,1,8:00
94,1665,24.848,46.724,2,8:00
95,1674,24.848,46.724,1,8:00
96,1684,24.853,46.72,1,8:00
97,1696,24.852,46.719,1,8:00
98,1709,24.854,46.719,1,8:00
