,oid,lat_dest,long_dest,flow,hour
0,124,24.855,46.72,1,14:00
1,216,24.855,46.72,1,14:00
2,235,24.848,46.724,1,14:00
3,241,24.848,46.724,1,14:00
4,249,24.849,46.722,1,14:00
5,267,24.855,46.72,1,14:00
6,395,24.848,46.724,1,14:00
7,418,24.855,46.72,1,14:00
8,546,24.855,46.72,1,14:00
9,565,24.849,46.722,1,14:00
10,683,24.848,46.724,1,14:00
11,725,24.855,46.72,1,14:00
12,733,24.848,46.724,1,14:00
13,788,24.848,46.724,1,14:00
14,941,24.848,46.724,1,14:00
15,945,24.855,46.72,1,14:00
16,946,24.848,46.724,1,14:00
17,969,24.848,46.724,1,14:00
18,970,24.854,46.719,1,14:00
19,998,24.848,46.724,1,14:00
20,1015,24.849,46.722,1,14:00
21,1082,24.855,46.72,1,14:00
22,1125,24.848,46.724,1,14:00
23,1155,24.849,46.722,1,14:00
24,1158,24.848,46.724,1,14:00
25,1194,24.849,46.722,1,14:00
26,1220,24.848,46.724,1,14:00
27,1260,24.848,46.724,1,14:00
28,1263,24.849,46.722,1,14:00
29,1310,24.848,46.724,1,14:00
30,1318,24.848,46.724,1,14:00
31,1348,24.849,46.722,1,14:00
32,1353,24.849,46.722,1,14:00
33,1361,24.855,46.72,1,14:00
34,1365,24.854,46.719,1,14:00
35,1373,24.848,46.724,1,14:00
36,1379,24.855,46.72,1,14:00
37,1384,24.855,46.72,1,14:00
38,1397,24.848,46.724,1,14:00
39,1404,24.854,46.719,1,14:00
40,1416,24.854,46.719,1,14:00
41,1416,24.855,46.72,2,14:00
42,1429,24.855,46.72,1,14:00
43,1438,24.848,46.724,1,14:00
44,1440,24.855,46.72,1,14:00
45,1442,24.855,46.72,1,14:00
46,1449,24.848,46.724,1,14:00
47,1464,24.848,46.724,1,14:00
48,1478,24.855,46.72,1,14:00
49,1484,24.848,46.724,1,14:00
50,1492,24.848,46.724,1,14:00
51,1492,24.855,46.72,3,14:00
52,1500,24.848,46.724,1,14:00
53,1505,24.849,46.722,1,14:00
54,1524,24.848,46.724,1,14:00
55,1527,24.848,46.724,1,14:00
56,1533,24.848,46.724,1,14:00
57,1537,24.854,46.719,1,14:00
58,1541,24.848,46.724,1,14:00
59,1547,24.855,46.72,1,14:00
60,1559,24.855,46.72,1,14:00
61,1560,24.848,46.724,1,14:00
62,1560,24.849,46.722,2,14:00
63,1560,24.855,46.72,1,14:00
64,1567,24.849,46.722,1,14:00
65,1573,24.849,46.722,1,14:00
66,1579,24.848,46.724,1,14:00
67,1579,24.854,46.719,1,14:00
68,1583,24.848,46.724,1,14:00
69,1593,24.855,46.72,2,14:00
70,1595,24.848,46.724,1,14:00
71,1599,24.852,46.719,1,14:00
72,1600,24.855,46.72,2,14:00
73,1605,24.855,46.72,1,14:00
74,1616,24.855,46.72,1,14:00
75,1619,24.848,46.724,1,14:00
76,1619,24.854,46.719,1,14:00
77,1619,24.855,46.72,3,14:00
78,1621,24.849,46.722,1,14:00
79,1623,24.852,46.719,1,14:00
80,1623,24.855,46.72,3,14:00
81,1625,24.848,46.724,1,14:00
82,1633,24.848,46.724,1,14:00
83,1633,24.849,46.722,2,14:00
84,1633,24.855,46.72,3,14:00
85,1655,24.848,46.724,2,14:00
86,1658,24.849,46.722,1,14:00
87,1665,24.849,46.722,7,14:00
88,1687,24.854,46.719,2,14:00
89,1692,24.854,46.719,1,14:00
90,1693,24.848,46.724,2,14:00
91,1693,24.849,46.722,2,14:00
92,1697,24.848,46.724,2,14:00
93,1712,24.855,46.72,3,14:00
