,oid,lat_dest,long_dest,flow,hour
0,725,24.848,46.724,1,20:00
1,835,24.855,46.72,1,20:00
2,861,24.848,46.724,1,20:00
3,1074,24.848,46.724,1,20:00
4,1108,24.849,46.722,1,20:00
5,1321,24.855,46.72,1,20:00
6,1416,24.848,46.724,1,20:00
7,1416,24.849,46.722,1,20:00
8,1418,24.848,46.724,1,20:00
9,1431,24.855,46.72,1,20:00
10,1439,24.848,46.724,1,20:00
11,1440,24.855,46.72,1,20:00
12,1442,24.848,46.724,2,20:00
13,1478,24.849,46.722,1,20:00
14,1492,24.848,46.724,1,20:00
15,1505,24.848,46.724,1,20:00
16,1509,24.848,46.724,1,20:00
17,1524,24.855,46.72,1,20:00
18,1541,24.854,46.719,1,20:00
19,1558,24.848,46.724,1,20:00
20,1560,24.854,46.719,1,20:00
21,1567,24.854,46.719,1,20:00
22,1579,24.854,46.719,1,20:00
23,1618,24.848,46.724,1,20:00
24,1619,24.848,46.724,3,20:00
25,1619,24.854,46.719,2,20:00
26,1619,24.855,46.72,1,20:00
27,1622,24.855,46.72,1,20:00
28,1623,24.854,46.719,1,20:00
29,1623,24.855,46.72,1,20:00
30,1629,24.854,46.719,1,20:00
31,1633,24.854,46.719,1,20:00
32,1655,24.848,46.724,2,20:00
33,1655,24.855,46.72,2,20:00
34,1688,24.854,46.719,1,20:00
35,1688,24.855,46.72,1,20:00
36,1693,24.848,46.724,1,20:00
37,1693,24.849,46.722,1,20:00
38,1694,24.854,46.719,1,20:00
39,1696,24.855,46.72,1,20:00
40,1697,24.848,46.724,4,20:00
41,1705,24.848,46.724,2,20:00
