,oid,lat_dest,long_dest,flow,hour
0,17,24.855,46.72,1,10:00
1,57,24.855,46.72,1,10:00
2,124,24.855,46.72,1,10:00
3,235,24.848,46.724,1,10:00
4,249,24.848,46.724,1,10:00
5,309,24.849,46.722,1,10:00
6,515,24.855,46.72,1,10:00
7,522,24.853,46.72,1,10:00
8,538,24.848,46.724,1,10:00
9,554,24.855,46.72,1,10:00
10,581,24.855,46.72,1,10:00
11,621,24.852,46.719,1,10:00
12,653,24.848,46.724,1,10:00
13,724,24.849,46.722,1,10:00
14,882,24.848,46.724,1,10:00
15,882,24.855,46.72,1,10:00
16,883,24.848,46.724,1,10:00
17,925,24.848,46.724,1,10:00
18,932,24.855,46.72,1,10:00
19,970,24.849,46.722,1,10:00
20,970,24.852,46.719,1,10:00
21,1072,24.854,46.719,1,10:00
22,1080,24.855,46.72,1,10:00
23,1082,24.855,46.72,1,10:00
24,1137,24.848,46.724,1,10:00
25,1138,24.855,46.72,1,10:00
26,1184,24.855,46.72,1,10:00
27,1185,24.855,46.72,1,10:00
28,1193,24.848,46.724,1,10:00
29,1218,24.855,46.72,1,10:00
30,1225,24.855,46.72,1,10:00
31,1233,24.849,46.722,1,10:00
32,1233,24.852,46.719,1,10:00
33,1246,24.855,46.72,1,10:00
34,1263,24.855,46.72,1,10:00
35,1291,24.855,46.72,1,10:00
36,1299,24.848,46.724,1,10:00
37,1301,24.852,46.719,1,10:00
38,1309,24.855,46.72,2,10:00
39,1310,24.848,46.724,1,10:00
40,1312,24.855,46.72,1,10:00
41,1337,24.855,46.72,1,10:00
42,1353,24.854,46.719,1,10:00
43,1363,24.854,46.719,1,10:00
44,1407,24.852,46.719,1,10:00
45,1416,24.855,46.72,1,10:00
46,1434,24.854,46.719,1,10:00
47,1442,24.855,46.72,1,10:00
48,1461,24.855,46.72,1,10:00
49,1469,24.849,46.722,1,10:00
50,1472,24.848,46.724,1,10:00
51,1474,24.848,46.724,1,10:00
52,1492,24.849,46.722,1,10:00
53,1527,24.848,46.724,1,10:00
54,1527,24.855,46.72,1,10:00
55,1534,24.855,46.72,1,10:00
56,1539,24.849,46.722,1,10:00
57,1555,24.849,46.722,1,10:00
58,1565,24.848,46.724,1,10:00
59,1576,24.852,46.719,1,10:00
60,1576,24.855,46.72,1,10:00
61,1579,24.848,46.724,2,10:00
62,1579,24.855,46.72,3,10:00
63,1589,24.848,46.724,1,10:00
64,1590,24.853,46.72,1,10:00
65,1605,24.854,46.719,1,10:00
66,1619,24.848,46.724,1,10:00
67,1623,24.853,46.72,1,10:00
68,1623,24.854,46.719,1,10:00
69,1623,24.855,46.72,3,10:00
70,1627,24.848,46.724,1,10:00
71,1627,24.853,46.72,1,10:00
72,1627,24.854,46.719,1,10:00
73,1633,24.854,46.719,1,10:00
74,1633,24.855,46.72,1,10:00
75,1635,24.855,46.72,1,10:00
76,1655,24.848,46.724,1,10:00
77,1665,24.849,46.722,1,10:00
78,1667,24.853,46.72,2,10:00
79,1683,24.854,46.719,1,10:00
80,1693,24.848,46.724,1,10:00
81,1693,24.854,46.719,1,10:00
