,oid,lat_dest,long_dest,flow,hour
0,124,24.848,46.724,1,19:00
1,1263,24.854,46.719,1,19:00
2,1317,24.855,46.72,1,19:00
3,1353,24.853,46.72,1,19:00
4,1353,24.854,46.719,1,19:00
5,1377,24.848,46.724,1,19:00
6,1380,24.855,46.72,1,19:00
7,1406,24.855,46.72,1,19:00
8,1416,24.849,46.722,1,19:00
9,1454,24.848,46.724,1,19:00
10,1467,24.848,46.724,1,19:00
11,1468,24.853,46.72,1,19:00
12,1492,24.855,46.72,1,19:00
13,1524,24.849,46.722,1,19:00
14,1532,24.848,46.724,1,19:00
15,1533,24.848,46.724,1,19:00
16,1535,24.852,46.719,1,19:00
17,1560,24.848,46.724,1,19:00
18,1578,24.854,46.719,1,19:00
19,1579,24.848,46.724,1,19:00
20,1579,24.854,46.719,1,19:00
21,1605,24.852,46.719,1,19:00
22,1619,24.848,46.724,6,19:00
23,1619,24.855,46.72,1,19:00
24,1623,24.855,46.72,3,19:00
25,1625,24.848,46.724,1,19:00
26,1633,24.854,46.719,1,19:00
27,1655,24.848,46.724,1,19:00
28,1655,24.854,46.719,1,19:00
29,1655,24.855,46.72,1,19:00
30,1694,24.854,46.719,2,19:00
31,1697,24.848,46.724,2,19:00
32,1697,24.855,46.72,1,19:00
33,1698,24.854,46.719,2,19:00
34,1699,24.848,46.724,1,19:00
35,1699,24.849,46.722,1,19:00
36,1699,24.854,46.719,1,19:00
37,1709,24.854,46.719,1,19:00
38,1711,24.854,46.719,1,19:00
