,oid,lat_dest,long_dest,flow,hour
0,111,24.852,46.719,1,6:00
1,132,24.853,46.72,1,6:00
2,167,24.853,46.72,1,6:00
3,219,24.853,46.72,1,6:00
4,227,24.853,46.72,1,6:00
5,235,24.848,46.724,1,6:00
6,322,24.855,46.72,1,6:00
7,425,24.853,46.72,1,6:00
8,510,24.848,46.724,1,6:00
9,669,24.855,46.72,1,6:00
10,834,24.848,46.724,1,6:00
11,835,24.848,46.724,1,6:00
12,839,24.852,46.719,1,6:00
13,880,24.853,46.72,1,6:00
14,894,24.855,46.72,1,6:00
15,988,24.855,46.72,1,6:00
16,1070,24.855,46.72,1,6:00
17,1081,24.853,46.72,1,6:00
18,1081,24.854,46.719,1,6:00
19,1081,24.855,46.72,1,6:00
20,1101,24.849,46.722,1,6:00
21,1140,24.855,46.72,1,6:00
22,1163,24.855,46.72,1,6:00
23,1179,24.855,46.72,1,6:00
24,1194,24.852,46.719,1,6:00
25,1228,24.855,46.72,1,6:00
26,1233,24.852,46.719,1,6:00
27,1249,24.853,46.72,1,6:00
28,1301,24.848,46.724,1,6:00
29,1318,24.852,46.719,1,6:00
30,1322,24.849,46.722,1,6:00
31,1359,24.855,46.72,1,6:00
32,1382,24.849,46.722,1,6:00
33,1382,24.855,46.72,1,6:00
34,1398,24.853,46.72,1,6:00
35,1404,24.848,46.724,1,6:00
36,1404,24.853,46.72,2,6:00
37,1409,24.855,46.72,1,6:00
38,1449,24.853,46.72,1,6:00
39,1475,24.852,46.719,1,6:00
40,1506,24.854,46.719,1,6:00
41,1513,24.848,46.724,1,6:00
42,1515,24.855,46.72,1,6:00
43,1516,24.855,46.72,1,6:00
44,1527,24.855,46.72,1,6:00
45,1560,24.853,46.72,1,6:00
46,1565,24.855,46.72,1,6:00
47,1568,24.852,46.719,1,6:00
48,1568,24.855,46.72,1,6:00
49,1572,24.848,46.724,1,6:00
50,1591,24.853,46.72,1,6:00
51,1596,24.848,46.724,1,6:00
52,1606,24.848,46.724,1,6:00
53,1621,24.853,46.72,1,6:00
54,1627,24.854,46.719,1,6:00
55,1628,24.849,46.722,1,6:00
56,1643,24.855,46.72,1,6:00
57,1661,24.853,46.72,1,6:00
58,1699,24.855,46.72,1,6:00
